Accper,Stkcd,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
2016-06-30,600111,C32,838.975417,1072.638051,,7.383959,10.900524,8.725422,17.85347,37.380525,45.137957,4.933992,3.151959,148.461219,773.693783,502.110413,5.869293,54445177964.0,54445177964.0,3.42645,3.5488589999999998,3.42645,3.5488589999999998,0.29184699999999997,0.29184699999999997,,0.0,-0.050642,217.58659900000004,108.188041
2016-03-31,600111,C32,799.264334,,,7.034455,14.503910000000001,8.152021000000001,17.008415,108.74776499999999,22.526432,4.656612,3.32643,141.434129,1730.299777,179.53429599999998,5.535037,36495480429.0,50573283172.0,2.534606,2.635269,3.512307,3.6518,0.394539,0.284713,,0.0,-0.095578,1413.078888,128.645332
2015-12-31,600111,C32,883.7291769999999,883.7291769999999,883.7291769999999,7.777844,7.777844,7.777844,18.805834,18.805834,18.805834,5.141753,3.641353,156.38063799999998,156.38063799999998,156.38063799999998,6.125125,39599782032.0,55566945769.0,2.72395,2.830964,3.822284,3.9724459999999997,0.367114,0.26162399999999997,467.333333,0.00214,-0.456129,51.051251,51.051251
2015-09-30,600111,C32,174.442598,171.074486,165.92325,7.872499,7.673375,7.034066,65.904066,14.547188,17.361407,4.577551000000001,3.1411990000000003,71.471735,114.317435,83.913668,5.534571,37122698479.0,51100856225.0,2.4450979999999998,2.537296,3.3657730000000003,3.492688,0.408982,0.297109,,0.0,-0.511206,89.298074,57.989426
2015-06-30,600111,C32,250.149306,149.851212,160.579743,11.289102,10.217997,9.8689,94.505909,14.427204000000001,22.583667000000002,6.538197,4.448841000000001,102.489903,126.417276,105.38749399999999,7.9753039999999995,49468352352.0,71193086017.0,3.218692,3.3393639999999998,4.632226999999999,4.805893,0.310685,0.215879,,0.0,-0.299073,94.646559,43.413588
2015-03-31,600111,C32,249.87350800000002,115.135052,168.42743000000002,11.276655,9.727807,10.214079,94.401713,21.391227,45.92638,6.396491,4.023855,102.37690400000001,217.183676,101.36787700000001,7.855439,50842163953.0,72456138709.0,3.005434,3.10767,4.2831019999999995,4.428799,0.332731,0.23347600000000002,,0.0,0.050232,198.488483,57.69149300000001
2014-12-31,600111,C32,237.922236,237.922236,237.922236,10.737300999999999,10.737300999999999,10.737300999999999,89.886546,89.886546,89.886546,6.176165,3.792241,97.48029,97.48029,97.48029,7.5486889999999995,49175454585.0,69619602791.0,2.8780799999999997,2.975076,4.07461,4.211931,0.347454,0.24542199999999997,276.053333,0.003622,0.165724,50.444457,50.444457
2014-09-30,600111,C32,55.600196,210.786054,114.764214,6.235273,10.436538,9.592414,46.557390999999996,94.410664,,5.290943,3.161936,33.556884000000004,99.830218,81.625751,6.567027,43478201784.0,60150322508.0,2.511805,2.602477,3.4749800000000004,3.600421,0.39812,0.287771,,0.0,-0.020656,86.331577,48.500906
2014-06-30,600111,C32,50.093712,326.232346,83.88911,5.61775,9.978495,7.899228,41.94648,376.788675,243.65569399999998,4.8227709999999995,2.8556340000000002,30.233506,85.494759,59.383348,6.249453,40295295661.0,54976433787.0,2.33573,2.417755,3.1867259999999997,3.298638,0.42813199999999996,0.313802,,0.0,-0.117647,112.54393999999999,32.320355
2014-03-31,600111,C32,51.036952,779.89322,63.044724,5.723529,11.17763,6.678439999999999,42.736312,363.857789,31.354868,4.705214,2.898658,30.802789,174.73015900000001,34.677322,6.145472,40638468222.0,55498286937.0,2.347089,2.429339,3.205324,3.317649,0.42606000000000005,0.311981,,0.0,-0.101033,394.795992,32.193326
2013-12-31,600111,C32,56.772874,56.772874,56.772874,6.366783,6.366783,6.366783,47.539344,47.539344,47.539344,5.241754,3.017577,34.26464,34.26464,34.26464,6.897272,45125077175.0,62111603482.0,2.444091,2.524492,3.364126,3.474792,0.40915,0.297254,117.210526,0.008532,-0.396809,25.356443,25.356443
2013-09-30,600111,C32,40.832318,75.58285500000001,247.36819900000003,7.3905520000000005,7.576571,8.82372,,24.194620999999998,75.975326,6.828744,3.8204010000000004,45.221385999999995,38.693796,59.662431999999995,9.027687,54094572895.0,76782707237.0,2.9266970000000003,3.0257389999999997,4.1542010000000005,4.294783,0.34168200000000004,0.24072,,0.0,-0.246996,46.898482,93.651756
2013-06-30,600111,C32,30.218811,55.462959999999995,176.772649,5.469533,5.230906,6.500282,,25.212432,,5.165506,2.6154439999999997,33.467033,24.046015,50.960899,6.935307000000001,44812515765.0,60675790999.0,2.250367,2.318677,3.046979,3.13947,0.44437200000000004,0.328194,,0.0,-0.44272399999999995,50.29895,57.656265000000005
2013-03-31,600111,C32,43.178004,91.889558,237.003458,7.815116000000001,7.8647100000000005,9.06511,,,,7.128952000000001,3.86953,47.819210999999996,73.620339,131.629696,10.368145,57183023283.0,81347850402.0,2.969965,3.063625,4.225035,4.358275,0.336704,0.236684,,0.0,-0.203738,147.80883799999998,83.287984
