,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
2020-03-31,64.72222149122807,160.33756175609756,60.81231005660377,2.5882564179104484,3.439494880597015,2.542727621212121,38.21800914814815,181.288763175,45.282382846153844,2.3931410153846153,1.4089492388059701,72.4960227017544,142.80498597560978,64.17548220754718,2.876897369230769,19203999721.71642,19907260290.0,1.5973707462686568,1.7521535074626868,1.8083075671641793,1.976093119402985,0.7297929104477611,0.6913922686567163,,0.0,-0.11391459701492537,470.66739869387754,36.4995052
2019-12-31,81.68732592982455,81.68732592982455,81.68732592982455,2.7514940746268657,2.7514940746268657,2.7514940746268657,41.78069601851852,41.78069601851852,41.78069601851852,2.744705446153846,1.5559179552238804,90.27282636842106,90.27282636842106,90.27282636842106,3.9669305384615385,20237353506.49254,21307663248.74627,1.7154009253731342,1.8473077611940298,1.9612057761194026,2.1068902089552237,0.6884543731343284,0.6430603283582089,458.69375896428573,0.004616701492537314,0.22447686363636363,28.455299118644078,28.455299118644078
2019-09-30,89.83902228301885,87.54113054385965,106.6162521666667,2.325567712121212,2.569513447761194,2.3679961363636366,40.97036368421052,70.958877375,35.31703674,2.521130970149254,1.4553646119402985,111.00354461111111,137.58353336842106,93.98421322916666,3.7970017910447758,19345195413.83582,20313182236.373135,1.5928614626865674,1.7183857014925374,1.8303185820895524,1.9697665223880596,0.7204016119402987,0.6735736716417912,,0.0,0.1651225,102.48875036065574,70.68743994230769
2019-06-30,91.53132571698113,77.18176151785713,71.91331387755102,2.371953590909091,2.43599903030303,2.3375043939393936,41.340177614035085,52.448859666666664,39.07610896428571,2.5955335909090906,1.47396396969697,114.83642853703702,132.16422611111113,86.62988014000001,7.304333363636364,19885395199.78788,20814230658.727272,1.639878136363636,1.7755930757575757,1.8218656363636363,1.969839409090909,0.6988026666666668,0.654918,29.625,0.0005114393939393939,0.2268213484848485,49.96269071428571,53.70018084745763
2019-03-31,88.10216238888889,107.35425707407408,143.6963603207547,2.4844450149253734,2.880736253731343,2.3307061060606062,44.50473548275862,94.10646168181819,123.39146041818184,2.8398982985074626,1.5320284925373138,110.98308314545454,125.50420235185186,81.85353281132073,36.554389820895516,19869639208.238808,21041060217.41791,1.6694829701492537,1.8120703880597016,1.8915879552238806,2.0485015522388057,0.673571776119403,0.6228929402985074,,0.0,0.31068799999999996,207.70239994736843,42.57938446296297
2018-12-31,64.88433816666667,64.88433816666667,64.88433816666667,1.9025662686567166,1.9025662686567166,1.9025662686567166,32.93816744827586,32.93816744827586,32.93816744827586,2.214534492537313,1.2000431791044774,79.90534272727272,79.90534272727272,79.90534272727272,3.3600545820895524,17317161884.328358,17967702968.80597,1.4084206119402984,1.5302962238805968,1.577318895522388,1.7075607910447763,0.7750124477611939,0.7348913880597016,324.3999023142857,0.0065034477611940296,-0.4661912698412699,20.518269175438597,20.518269175438597
2018-09-30,61.645866459016396,76.50560023728814,70.64919856363636,2.5747388,2.3244659848484845,2.2723179692307696,37.78538922222222,183.45723725490194,62.56559565384616,2.773011681818182,1.5253299242424243,63.99382432786884,84.52130791525423,86.81244772727274,2.8949626818181815,18642411202.39394,19658393567.530304,1.6169318333333333,1.755994196969697,1.8591869545454547,2.0113689696969694,0.7182051818181818,0.6719775,,0.0,-0.3911663870967741,51.23133265,37.21732103448276
2018-06-30,75.39119636206897,59.59829137037039,133.56231814,3.0344614838709676,2.9292822222222226,2.5873335932203396,48.873663714285726,32.185909378378376,57.004839024390236,3.1530013650793647,1.8559992698412697,77.3108039137931,65.44883068518517,130.35140020000003,3.270943634920635,19444328868.825397,20569432049.06349,1.7974641269841265,1.95187826984127,2.1570577460317457,2.333458603174603,0.681971142857143,0.6259369841269842,,0.0,-0.30852080000000004,151.2874625932203,31.884739052631577
2018-03-31,83.5836896551724,114.01413315094341,83.31627140740741,4.012978790322581,4.038410887096775,3.53441048275862,61.88070166666668,222.8212092352941,74.29024939473685,4.536719080645162,2.4980399193548384,85.00390344827586,142.13879872222222,86.81906077777779,4.6969785,21866461787.548386,23580531057.580647,2.155740290322581,2.346467241935484,2.632160838709677,2.8539346290322576,0.589787935483871,0.5294256451612903,,0.0,-0.0740152,291.5039984035087,47.77254298214285
2017-12-31,101.02218711864404,101.02218711864404,101.02218711864404,3.8848139365079364,3.8848139365079364,3.8848139365079364,67.65918966666668,67.65918966666668,67.65918966666668,4.399786301587302,2.5118873809523814,103.46173352542372,103.46173352542372,103.46173352542372,4.571027634920636,18067637141.984127,20595952827.238094,2.101564746031747,2.2929580476190474,2.75860626984127,2.9880064126984127,0.5632595396825398,0.488248253968254,289.9793346363636,0.004734444444444443,0.01350457999999998,29.588949741935487,29.588949741935487
