,relative_P_F,relative_P_P,real_P
2020-03-31,,,
2019-12-31,,,
2019-09-30,,,
2019-06-30,,,
2019-03-31,11.287087365333438,15.506089301321358,11.15
2018-12-31,4.306172345569335,8.207954727884655,8.77
2018-09-30,0.002143553143111543,9.764830748257113,10.23
2018-06-30,4.14494504614342,10.178253563485585,11.38
2018-03-31,29.539243841398083,46.203366263626684,13.01
2017-12-31,2.5130328601252097,14.251993700937632,14.59
2017-09-30,43.02117538891741,17.251975312019685,16.13
2017-06-30,20.863224357067473,11.73371046675447,11.33
2017-03-31,19.239575863415983,21.326644694098345,12.11
2016-12-31,103.25337607968515,11.959748997563004,12.27
2016-09-30,57.755186978403046,63.03641491147945,12.36
2016-06-30,52.64471875885005,60.115891009075426,13.31
2016-03-31,21.90489307387139,59.45607425840372,12.68
2015-12-31,103.84254581199062,158.32228833471805,14.02
2015-09-30,17.865588737386652,19.4109067322674,12.65
2015-06-30,25.83112887790997,30.955536047295055,18.14
2015-03-31,25.973201779893476,33.2396415461519,27.18
2014-12-31,23.161029972322186,17.330200861305546,25.88
2014-09-30,29.76759688067576,30.060285107701937,21.81
2014-06-30,18.305437577266648,24.37299349977363,19.65
2014-03-31,10.645562572761591,18.204870340768164,20.02
2013-12-31,20.562685573501177,21.179668736620883,22.27
2013-09-30,26.467153385303284,32.06556145000913,28.2
2013-06-30,33.65908318570654,38.64592080917812,20.87
2013-03-31,14.555685360116183,22.53735395035491,29.82
2012-12-31,35.037638039149115,23.297750184429646,37.45
2012-09-30,37.69402335944177,38.81040278670792,34.0
2012-06-30,36.02567747762859,46.274325795040006,39.46
2012-03-31,78.83898584820903,132.7948243828135,66.76
2011-12-31,65.67669876332045,96.56338068530484,37.63
2011-09-30,104.779728731702,113.49701076954466,55.0
2011-06-30,91.5403862251894,107.0274227581098,71.43
2011-03-31,177.51712512205341,214.32760576111937,87.35
2010-12-31,54.33061163579581,87.50662914460938,71.44
2010-09-30,34.33820605443431,46.08705386235718,76.86
2010-06-30,20.057364911927237,25.43957252040655,35.51
2010-03-31,27.598948497890298,33.97091259174623,28.06
2009-12-31,12.297342026462449,18.466474091112474,27.42
2009-09-30,5.283728103778359,20.2470798689524,26.97
2009-06-30,8.822934653997876,19.99312670997785,19.38
2009-03-31,-23.771022009724152,16.793089301779755,18.67
2008-12-31,8.197350492624503,8.364462320297834,7.02
2008-09-30,6.893128020207461,9.658663027247076,10.87
2008-06-30,8.16259168491722,14.838571359597802,16.6
2008-03-31,22.667905463216993,35.30612351238043,36.18
2007-12-31,50.99144836515261,58.819325667853114,48.78
2007-09-30,101.66508815505544,105.02064368196302,53.88
2007-06-30,49.48087003459144,54.7507398146323,27.82
2007-03-31,14.537136732067728,19.90481200613686,17.13
2006-12-31,9.03730726309843,11.160250507537246,11.29
2006-09-30,35.54971938442197,30.184276498739916,8.23
2006-06-30,5.936714210376703,7.763689065621082,7.09
2006-03-31,5.449082051813825,6.506994290581519,6.02
2005-12-31,3.4902300227154033,3.664084487748871,4.57
2005-09-30,4.414183166733246,4.563687465906825,4.57
2005-06-30,147.21918062567195,118.55304931064659,4.2
2005-03-31,3.012991823425419,3.7713527909384803,5.55
2004-12-31,4.642552486140171,4.867182378024824,6.17
2004-09-30,4.6555692068211325,5.125604517670392,6.43
2004-06-30,7.559223237312311,7.802617441280501,6.43
2004-03-31,9.454368887645638,10.532735405594202,8.43
2003-12-31,7.337618279466729,6.719689791353585,7.65
2003-09-30,5.648145195578644,6.370731475815697,7.82
2003-06-30,5.861734216803189,8.05771821288303,8.67
2003-03-31,4.6198709832787195,8.470574976027798,9.64
2002-12-31,12.631738334855843,10.870822994077592,8.95
2002-09-30,11.803958721926113,10.695737212805621,11.26
2002-06-30,11.555881034425624,11.338882762602292,12.54
2002-03-31,4.612375571360661,5.747100687089711,12.1
2001-12-31,12.462567699761339,8.517785715876302,12.25
2001-06-30,11.033816837841158,13.628167480911012,15.37
2000-12-31,12.416861077395886,15.747613466545996,18.6
2000-06-30,14.978308394302365,14.895649250266718,13.41
1999-12-31,3.728294266777228,4.386638918206315,9.19
1999-06-30,0.7745598525332902,9.431406786998842,11.98
1998-12-31,-0.8394102758400677,9.086732234176637,7.3
1998-06-30,10.335003981761721,6.943882011911509,8.82
1997-12-31,7.19763249654563,6.9028050395687774,8.9
