,Stkcd,Accper,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
160995,603305,2020-03-31,C32,74.011375,75.280307,69.656864,13.935573999999999,13.2659,13.485879999999998,31.47297,,39.051957,7.641253999999999,6.3799589999999995,74.011375,75.280307,69.656864,7.641253999999999,5087647467.0,15897553819.0,1.950445,2.122877,6.094626,6.633429,0.512703,0.164079,,0.0,0.086009,81.403873,19.493972
161132,600459,2019-12-31,C32,25.426329,25.426329,25.426329,0.309501,0.309501,0.309501,,,,1.932555,0.8960319999999999,28.457067,28.457067,28.457067,2.053652,10725045144.0,10725045144.0,1.423235,1.453989,1.423235,1.453989,0.702625,0.702625,55.925926000000004,0.017881,0.380697,20.457167000000002,20.457167000000002
161152,603978,2019-12-31,C32,43.806578,43.806578,43.806578,3.9940589999999996,3.9940589999999996,3.9940589999999996,,,,2.74287,2.0789720000000003,43.806578,43.806578,43.806578,2.74287,3372508802.0,4748125602.0,1.587734,1.697828,2.235357,2.390357,0.6298279999999999,0.44735600000000003,412.96,0.0024219999999999997,0.371652,20.296967000000002,20.296967000000002
161191,600595,2019-12-31,C32,120.276524,120.276524,120.276524,0.781779,0.781779,0.781779,5.840336,5.840336,5.840336,1.74635,0.214254,41.344118,41.344118,41.344118,1.266968,24010980947.0,24217534080.0,1.0731870000000001,1.192309,1.082419,1.202566,0.9318040000000001,0.9238569999999999,,0.0,0.134021,12.587689,12.587689
161235,000630,2019-12-31,C32,23.543237,23.543237,23.543237,0.263868,0.263868,0.263868,6.040785,6.040785,6.040785,1.2222979999999999,0.5381229999999999,28.703553000000003,28.703553000000003,28.703553000000003,1.334869,52021401132.0,52430737419.0,1.084455,1.14136,1.092989,1.150341,0.9221219999999999,0.9149229999999999,233.0,0.004292,0.187033,14.463198,14.463198
161284,000629,2020-03-31,C32,13.092691,61.532528000000006,24.708569,1.449177,1.880514,1.6394900000000001,5.810565,,6.962594999999999,1.9609889999999999,1.545711,13.437221,67.624413,25.90033,2.025239,17831849114.0,21990532471.0,1.410124,1.445411,1.7389880000000002,1.782505,0.709158,0.575047,,0.0,-0.23972600000000002,214.874778,20.656088
161504,300618,2020-03-31,C32,912.490158,136.578711,135.15418,6.970008,6.063562,6.998130000000001,60.207721,20.957914000000002,220.949229,6.694780000000001,3.584107,894.286661,136.242412,134.869783,6.689425999999999,10852139098.0,14058853171.0,3.090795,3.136734,4.004098,4.063612,0.32354099999999997,0.249744,,0.0,-0.44143699999999997,303.553137,87.897766
161561,000831,2019-12-31,C32,135.05361499999998,135.05361499999998,135.05361499999998,7.717135000000001,7.717135000000001,7.717135000000001,,,,5.511578,4.617911,147.999406,147.999406,147.999406,5.719079,13171534152.0,13171534152.0,4.762479,4.784726,4.762479,4.784726,0.209975,0.209975,,0.0,0.548387,106.129309,106.129309
161620,002171,2019-12-31,C32,20.621588,20.621588,20.621588,0.5796859999999999,0.5796859999999999,0.5796859999999999,46.538834,46.538834,46.538834,1.765468,1.443866,21.436573000000003,21.436573000000003,21.436573000000003,1.804413,11851087179.0,12746287146.0,1.400596,1.731487,1.506393,1.862279,0.713982,0.663837,74.1,0.013494999999999998,0.613927,16.855284,16.855284
161645,002171,2020-03-31,C32,20.760735,,31.58935,0.583598,0.637573,0.552747,46.852861,,26.581142,1.824097,1.362689,21.581219,,33.736196,1.866516,12582785462.0,13425726492.0,1.408911,1.7234040000000002,1.503296,1.838858,0.7097680000000001,0.665205,,0.0,0.0067480000000000005,,29.897748999999997
